Nº,Move,Tipo,Base,PP,Acc.,Poder,PR,PB,RR,S,Blanco
1,Destructor,F,35,100%,40,0,Sí,Sí,No,Elegido
2,Golpe Kárate,Lucha,F,25,100%,50,0,Sí,Sí,No,Elegido
3,Doblebofetón,Normal,F,10,85%,15,0,Sí,Sí,No,Elegido
4,Puño Cometa,Normal,F,15,85%,18,0,Sí,Sí,No,Elegido
5,Mega Puño,Normal,F,20,85%,80,0,Sí,Sí,No,Elegido
6,Día de Pago,Normal,F,20,100%,40,0,Sí,Sí,No,Elegido
7,Puño Fuego,Fuego,F,15,100%,75,0,Sí,No,No,Elegido
8,Puño Hielo,Hielo,F,15,100%,75,0,Sí,No,No,Elegido
9,Puño Trueno,Eléctrico,F,15,100%,75,0,Sí,No,No,Elegido
10,Arañazo,Normal,F,35,100%,40,0,Sí,Sí,No,Elegido
11,Agarre,Normal,F,30,100%,55,0,Sí,Sí,No,Elegido
12,Guillotina,Normal,F,5,30%,--,0,Sí,No,No,Elegido
13,V. Cortante (b),Normal,E,10,100%,80,0,Sí,Sí,No,Rivales
14,Danza Espada,Normal,O,30,--,--,0,No,No,No,User
15,Corte,Normal,F,30,95%,50,0,Sí,Sí,No,Elegido
16,Tornado (a)(a),Volador,E,35,100%,40,0,Sí,Sí,No,Elegido
17,Ataque Ala (a),Volador,F,35,100%,60,0,Sí,Sí,No,Elegido
18,Remolino (a),Normal,O,20,--,--,-6,Sí,No,No,Elegido
19,Vuelo (c),Volador,F,15,95%,90,0,Sí,Sí,No,Elegido
20,Atadura,Normal,F,20,75%,15,0,Sí,Sí,No,Elegido
21,Portazo,Normal,F,20,75%,80,0,Sí,Sí,No,Elegido
22,Látigo Cepa (c),Planta,F,15,100%,35,0,Sí,Sí,No,Elegido
23,Pisotón,Normal,F,20,100%,65,0,Sí,No,No,Elegido
24,Doble Patada,Lucha,F,30,100%,30,0,Sí,Sí,No,Elegido
25,Mega Patada,Normal,F,5,75%,120,0,Sí,Sí,No,Elegido
26,Patada Salto (c),Lucha,F,25,95%,85,0,Sí,Sí,No,Elegido
